INSTITUIÇÃO;CONTRATO;TIPO PESSOA;DOCUMENTO;FINANCIADO;UF;ULTIMO EVENTO;DATA;HORA;PROTESTO;TAGS;BOLETO Á VENCER;PASTA(AT);PASTA(AT)ABERTA;PASTA(AD);PASTA(AD)ABERTA;HOT;BOM;INDEFINIDO;RUIM;R$ VENCIDAS;R$ VINCENDAS;R$ VENCIDAS + VINCENDAS;DIAS DE ATRASO;PARCELAS ATRASADAS;1º PARCELA;QTDE. PARCELAS RESTANTES;PLANO;DETALHE EVENTO;USÚARIO;BENS;BOLETO GERADO POR;CODIGO PESSOA;TIPO PESSOA.1;MARCA;MODELO;CHASSIS;PLACA;RENAVAM;COR;ANO;COMBUSTIVEL
Peixoto;1709101;Jurídica;714.806.925-49;Sr. Ravi Mendes;PB;Protesto;2024-03-01;07:13:57;Sim;Cliente VIP;2;False;False;False;False;True;True;True;True;9777.36;9299.13;8192.06;134;6;2024-09-08;40;B;Adipisci laudantium quibusdam culpa assumenda repudiandae.;aurora68;Casa;Sistema A;7406831;Jurídica;Cardoso Pires S.A.;aut;3833098359;COH-4X08;14991167605;Branco;2003;GNV
Moura;2329470;Jurídica;43.152.897/0001-81;Zoe da Costa;BA;Protesto;2024-07-24;01:08:42;Sim;Inadimplente;5;False;True;True;False;False;False;True;True;2324.57;7826.86;16021.5;363;9;2024-03-26;53;D;Nam voluptates rem.;kdias;Moto;Sistema C;1650929;Jurídica;Campos S.A.;dignissimos;7687866434;QCS-0E40;60073501196;Vermelho;2008;Gasolina
Azevedo S/A;8531442;Física;453.897.602-47;Daniela Melo;AP;Negociação;2024-04-30;08:09:30;Não;Fidelizado;2;True;False;False;True;False;False;True;True;3364.38;5037.96;9975.61;302;8;2024-05-04;42;D;Culpa dolorum maxime vero id maiores.;brunosiqueira;Casa;Sistema C;4175789;Física;Caldeira;cumque;5388660517;ASR-2V32;48037123807;Prata;2012;GNV
da Mota;3576378;Física;75.860.923/0001-12;Sra. Ana Vitória Barbosa;AP;Negociação;2024-09-06;22:01:49;Não;Fidelizado;2;True;False;True;True;False;True;True;False;7744.05;6496.21;9615.63;326;1;2024-07-03;20;A;Earum magnam reiciendis laborum doloribus.;novaeseloa;Casa;Sistema B;9094708;Física;Montenegro;illum;0850445774;HRR-7C94;74588499585;Branco;2019;Etanol
da Rocha;7700008;Física;489.613.027-87;Zoe Borges;BA;Atraso;2024-08-14;00:54:52;Sim;Fidelizado;0;True;False;False;True;False;False;False;True;4292.69;1079.87;14239.38;359;5;2024-06-28;32;D;Nisi dolore ea sit officiis pariatur.;dante48;Carro;Sistema B;6741295;Física;da Conceição;perferendis;7455221967;FZU-9Y09;14172233423;Preto;2005;Etanol
Ferreira;0237373;Jurídica;763.140.259-07;José Pedro da Costa;SE;Protesto;2024-05-21;22:31:24;Sim;Recente;1;False;False;True;False;True;False;False;False;5248.36;4088.14;2834.26;244;7;2024-10-03;25;C;Ex dolore reprehenderit est non quibusdam molestias.;jose-pedrocardoso;Terreno;Sistema A;7944884;Jurídica;Barros;nam;9949182888;DPC-5W66;26537526149;Branco;2010;Híbrido
Pacheco;1582021;Jurídica;73.580.416/0001-08;Fernanda Guerra;SE;Negociação;2024-04-21;22:40:46;Sim;Inadimplente;1;False;False;False;True;False;False;False;True;7660.89;6961.29;1240.77;10;6;2024-05-07;12;B;Itaque ipsum autem.;abreutheo;Carro;Sistema A;5014757;Jurídica;Silveira;assumenda;6345641401;QHY-9G36;40136399547;Preto;2010;GNV
Castro Pastor e Filhos;1364867;Jurídica;542.678.103-62;Luiz Miguel Silveira;PA;Atraso;2024-06-16;00:18:49;Sim;Cliente VIP;4;True;False;True;False;True;False;False;True;6937.54;1455.61;18195.87;161;1;2024-06-06;43;B;Quae alias esse sit delectus.;ppastor;Terreno;Sistema C;3615503;Física;Casa Grande;dolorum;1289707376;EWR-8P45;24871037624;Vermelho;2001;Etanol
Almeida Cunha Ltda.;2595687;Jurídica;28.394.615/0001-69;Ana Sophia da Luz;GO;Pagamento;2024-05-06;19:46:13;Sim;Recente;3;False;False;False;True;True;False;False;False;1137.18;9567.5;16398.14;204;4;2024-07-01;33;D;Id nihil quisquam accusamus iusto.;da-luzpedro-lucas;Terreno;Sistema B;7382939;Física;Dias da Mota e Filhos;assumenda;6575167257;BJR-5T96;89321412075;Preto;2020;Diesel
Duarte;5487149;Jurídica;957.860.124-76;Dr. Juan Melo;DF;Atraso;2024-03-11;22:47:53;Sim;Cliente VIP;2;True;False;True;True;True;False;True;True;5125.55;9307.29;6277.6;251;6;2024-03-01;14;C;Sequi rem officia.;noahgoncalves;Carro;Sistema A;7618631;Física;da Rocha;modi;8269962662;NXI-5E38;42644260783;Preto;2012;Diesel
da Mota Ramos S/A;0025258;Física;60.152.874/0001-96;Pietro Sales;MS;Protesto;2024-04-26;12:04:08;Não;Fidelizado;1;False;True;True;True;True;True;False;True;8632.77;5139.45;15061.83;177;7;2024-07-08;45;D;Ipsa iusto quis.;rebeca04;Moto;Sistema A;2177122;Física;Vasconcelos;tempore;0105015688;VNB-5W31;12098519743;Prata;2005;Híbrido
Barros;6738301;Jurídica;987.516.230-21;João Pedro Siqueira;AM;Protesto;2024-01-12;21:09:42;Não;Recente;4;False;False;True;False;True;False;False;False;3802.13;9345.46;8808.75;149;1;2024-07-03;8;A;Dolorum tempora ipsa omnis enim suscipit.;fonsecaravi;Terreno;Sistema A;7732254;Jurídica;Souza e Filhos;necessitatibus;9822833598;KFL-9A48;83052534947;Azul;2012;Gasolina
Pires;9017716;Jurídica;71.893.526/0001-96;Dra. Juliana Pereira;PI;Negociação;2024-04-14;03:13:00;Sim;Inadimplente;1;False;False;True;True;True;False;False;False;1991.45;2834.39;4484.8;234;4;2024-05-18;6;D;Nisi itaque nostrum laboriosam dolores.;taraujo;Casa;Sistema B;1243790;Física;Duarte;velit;3433761022;COH-1X70;14604101568;Branco;2003;Etanol
Pinto;8830827;Física;569.342.810-98;Yuri Borges;SE;Protesto;2024-04-23;05:34:05;Sim;Recente;3;True;True;False;False;True;False;False;True;6486.72;6269.84;7530.66;89;0;2024-06-05;37;B;Eveniet veniam doloremque est.;renansousa;Carro;Sistema C;6446328;Jurídica;Costa Moreira - ME;deleniti;2671864368;ENP-0M09;58078475575;Preto;2008;Híbrido
Moraes da Mota S/A;8618363;Física;76.259.348/0001-60;Maria Clara Sales;RJ;Negociação;2024-05-19;11:07:58;Não;Recente;0;False;False;True;False;True;False;True;True;3161.48;9120.86;14618.14;66;10;2024-09-06;45;D;Possimus error maiores officia ut aperiam.;lmarques;Casa;Sistema B;4824903;Jurídica;da Paz S.A.;minus;5591885929;VGW-2V96;95440277046;Preto;2006;Diesel
Almeida;8387542;Jurídica;64.102.587/0001-22;Brayan Vasconcelos;BA;Atraso;2024-05-29;20:16:22;Sim;Fidelizado;5;False;False;False;False;False;True;False;True;5745.87;3210.74;13818.67;135;4;2024-06-13;9;D;Minima quia nisi dolor rem.;helenarezende;Carro;Sistema A;422282;Jurídica;Campos;officia;8030823422;WID-0D83;18353569395;Branco;2015;Gasolina
da Cruz Silveira S.A.;1895317;Física;35.186.029/0001-94;Ana Carolina Monteiro;GO;Protesto;2024-04-02;02:26:36;Sim;Inadimplente;3;True;False;False;True;False;True;False;True;9302.46;1181.44;10036.03;318;8;2024-09-07;56;D;Tenetur sit deserunt facere sed rerum.;marcos-vinicius07;Moto;Sistema C;5160697;Jurídica;Sousa;laboriosam;5561523864;KCU-2X20;34176378882;Branco;2007;Diesel
Dias;2358909;Jurídica;26.087.431/0001-20;Sra. Alice Carvalho;GO;Atraso;2024-09-09;19:13:28;Sim;Fidelizado;2;False;False;True;True;True;False;False;False;5263.15;4540.0;17574.87;225;10;2024-01-11;59;C;Magnam expedita sed nulla pariatur sapiente.;vargasester;Casa;Sistema A;7869311;Física;Garcia;eos;8772212331;QFA-3Y27;38653878204;Vermelho;2008;Etanol
Carvalho S.A.;1851974;Jurídica;071.295.634-43;Sophia Andrade;PA;Protesto;2024-04-28;16:11:07;Não;Inadimplente;0;False;False;True;True;False;True;False;False;9638.48;2119.62;1962.17;303;6;2024-02-23;48;C;Officiis commodi et delectus.;gcirino;Moto;Sistema B;2292475;Física;da Luz;minus;0625137195;KIT-5B21;93106188426;Preto;2018;Etanol
Pimenta;8406900;Física;76.045.329/0001-30;Bruno Farias;PI;Atraso;2024-09-28;06:04:39;Sim;Recente;1;False;True;True;False;True;False;False;False;4236.73;2235.0;11724.21;116;8;2024-08-30;15;D;Id deserunt assumenda sit.;novaescalebe;Moto;Sistema C;700577;Física;Albuquerque;nulla;5998542214;AFD-6Z93;72256156336;Azul;2009;Híbrido
Rocha Brito e Filhos;7092873;Física;167.849.230-22;Davi Santos;AP;Negociação;2024-09-06;15:34:44;Não;Inadimplente;0;True;True;True;True;False;False;False;False;5014.24;4467.3;3633.65;82;9;2024-06-02;38;D;Hic accusamus ipsum ab.;teixeiracamila;Terreno;Sistema B;2822399;Física;Cardoso;excepturi;5355212703;KHT-2P31;04672844246;Preto;2023;Gasolina
Garcia S.A.;0992976;Física;092.417.865-58;Gabrielly da Conceição;PA;Negociação;2024-05-03;05:36:56;Sim;Recente;2;False;False;True;True;False;True;True;False;3415.59;6075.24;14777.74;277;4;2024-07-25;52;B;Quae neque mollitia voluptatibus vero est.;esa;Terreno;Sistema B;8148517;Física;da Costa Oliveira e Filhos;animi;9627499823;PAA-7L31;89339119521;Azul;2010;GNV
Nascimento;8063181;Física;29.067.485/0001-12;Maria Luiza Jesus;AL;Atraso;2024-03-13;18:20:15;Sim;Recente;0;False;True;False;True;False;True;True;True;215.39;8004.53;11880.01;180;2;2024-01-06;45;A;Harum id ipsa nesciunt.;costanicolas;Carro;Sistema B;4921082;Física;Farias e Filhos;explicabo;8339378546;GMQ-7Z25;62882609389;Branco;2007;Híbrido
Montenegro Rodrigues S/A;0508833;Física;58.761.302/0001-62;José Monteiro;AP;Pagamento;2024-06-25;14:17:00;Não;Recente;1;False;True;False;False;False;True;True;False;5858.41;9269.19;10450.14;278;9;2024-07-10;51;C;Excepturi commodi incidunt accusamus.;maria-eduarda62;Moto;Sistema A;3939439;Jurídica;Barbosa Ltda.;quaerat;4988219010;QVX-0J00;15003397729;Preto;2022;GNV
Mendonça Vargas S/A;3322243;Jurídica;38.491.065/0001-50;João Vitor Silveira;RJ;Protesto;2024-01-19;02:28:26;Não;Fidelizado;5;True;True;True;True;False;False;True;False;6520.53;8413.28;17644.1;131;7;2024-06-08;39;D;Consequatur voluptatibus officia corrupti facilis voluptatem.;acampos;Casa;Sistema A;5578194;Física;da Rocha S.A.;reprehenderit;3942770627;KKB-1R12;62233044237;Branco;2014;Híbrido
Pastor;1872601;Jurídica;948.652.013-51;Sr. Theo Moraes;SP;Protesto;2024-02-28;13:50:07;Sim;Recente;4;True;False;True;False;False;True;True;True;7040.83;8921.39;15116.16;206;3;2024-06-12;6;A;Cupiditate facere quas sit.;rda-cruz;Casa;Sistema C;269481;Física;Costela - EI;doloribus;0712473601;BTP-7B05;08941235058;Branco;2006;GNV
Sá Novaes - EI;3713687;Física;546.079.813-20;Dr. Luiz Fernando Montenegro;PE;Protesto;2024-08-18;22:29:37;Não;Cliente VIP;3;True;False;True;False;False;True;False;True;4837.99;2797.72;7064.39;84;0;2024-04-08;15;C;Expedita earum expedita quo.;diasemanuelly;Carro;Sistema B;8451167;Jurídica;Costa;corporis;3316111955;ZLQ-7G52;22403246950;Vermelho;2020;Híbrido
Ramos Nascimento Ltda.;5274603;Física;408.623.795-47;Ana Liz Teixeira;SE;Atraso;2024-05-02;10:45:52;Sim;Cliente VIP;2;True;True;False;False;True;True;True;False;1998.77;8635.49;12176.52;166;10;2024-02-19;49;D;Harum voluptate porro ex accusantium consequuntur.;bdias;Carro;Sistema C;4962719;Física;Lopes Vieira Ltda.;eius;3911709946;JQC-8H65;11492590965;Azul;2002;GNV
Melo;9020806;Física;320.957.684-00;Laura Melo;PI;Atraso;2024-01-20;03:18:32;Sim;Cliente VIP;1;False;True;False;False;False;True;True;False;6289.79;2533.67;15756.84;278;1;2024-06-28;4;D;Quis dignissimos harum placeat.;agatha84;Moto;Sistema A;3520166;Física;da Luz;neque;5480590568;PTR-9M77;77375420591;Prata;2005;Híbrido
Duarte;5410042;Física;03.568.174/0001-43;Ana Albuquerque;PR;Atraso;2024-08-29;00:36:34;Não;Cliente VIP;2;True;True;True;False;True;True;False;True;5076.61;8235.09;3372.39;277;3;2024-08-31;53;C;Velit commodi at distinctio.;estherda-paz;Terreno;Sistema C;8076069;Física;Ribeiro Cavalcante e Filhos;est;3009511533;TAC-9P38;75876093822;Preto;2008;Gasolina
Santos S/A;0861160;Física;179.460.825-76;João Felipe Alves;CE;Atraso;2024-05-16;03:20:38;Sim;Inadimplente;2;False;False;True;True;False;True;True;False;6724.69;8655.52;15373.86;293;9;2024-09-17;39;B;Molestiae ut vel minima doloribus.;sborges;Moto;Sistema A;7313826;Jurídica;Marques da Mota S.A.;temporibus;2398186686;KFZ-5H64;21530458997;Branco;2022;Gasolina
Cirino S/A;8516292;Física;852.397.046-00;Antonella Marques;MT;Pagamento;2024-02-02;10:06:13;Sim;Inadimplente;0;False;False;False;True;False;True;True;True;8510.77;2196.66;1883.32;165;1;2024-01-02;6;B;Ipsum accusamus consequatur.;borgesmariah;Moto;Sistema B;5580125;Física;Farias;animi;2186847372;AGI-2G74;78465798971;Preto;2003;GNV
da Mota - EI;3348882;Jurídica;648.395.712-28;Arthur Miguel Gomes;MT;Atraso;2024-06-20;16:12:29;Não;Fidelizado;2;False;True;False;True;False;False;True;True;3143.96;3432.05;413.47;101;9;2024-04-11;33;B;Pariatur iure aperiam non voluptatum blanditiis.;emanuelly17;Terreno;Sistema C;269837;Jurídica;Rezende Sampaio - EI;id;0062472002;OCB-3L61;71603094208;Preto;2008;Gasolina
Moura Ramos S/A;1902389;Física;85.103.972/0001-64;Laura Correia;MG;Protesto;2024-06-25;09:21:33;Não;Inadimplente;3;False;True;False;True;True;True;False;False;4408.87;6094.91;9625.75;346;3;2024-05-16;1;A;Nemo nisi velit et odio vel.;juliarocha;Casa;Sistema A;3959287;Física;Carvalho;iste;1043387600;HRU-4L00;19856442201;Branco;2007;GNV
Cunha Machado S/A;7668005;Física;172.389.605-59;Srta. Maria Alice Gomes;CE;Protesto;2024-03-15;22:05:05;Sim;Inadimplente;3;True;True;False;True;True;False;True;False;7580.68;8664.99;18384.21;185;3;2024-09-01;0;C;Aperiam ipsam laudantium.;alvessofia;Carro;Sistema A;795654;Física;Nogueira;aperiam;0906688603;ZKN-7P48;18743778383;Branco;2000;Híbrido
Abreu;4667299;Jurídica;36.471.850/0001-15;Mateus Aparecida;ES;Negociação;2024-03-20;20:30:29;Sim;Cliente VIP;5;True;True;True;False;False;False;True;False;5682.04;5348.29;1375.51;81;2;2024-08-05;3;B;Consectetur soluta nesciunt distinctio aperiam ipsam.;santosraul;Terreno;Sistema C;1692278;Física;Aragão;commodi;2136648101;DDF-1M79;10694564421;Branco;2023;Gasolina
Casa Grande Porto S.A.;7518736;Jurídica;689.152.437-73;Dra. Cecilia Pereira;CE;Negociação;2024-07-17;12:31:35;Não;Cliente VIP;0;True;False;True;True;True;True;True;False;7752.34;9242.93;18490.68;13;7;2024-10-04;38;A;Nisi quae explicabo incidunt.;tmendonca;Moto;Sistema B;9578911;Física;Andrade;odio;2951019898;IGX-0W94;46927480389;Vermelho;2023;Híbrido
Brito;5262560;Física;97.345.816/0001-99;Henry Gabriel Carvalho;SC;Protesto;2024-08-29;18:34:07;Sim;Inadimplente;2;True;True;True;True;True;False;True;False;6075.43;5356.56;15420.99;256;8;2024-09-17;16;C;Recusandae hic dolores nobis deserunt.;bryan71;Carro;Sistema C;9054380;Física;Araújo - EI;consectetur;2368112161;GNJ-7O01;68857377298;Branco;2000;Diesel
Rezende Leão - EI;2077602;Física;80.197.534/0001-99;Luan Campos;PR;Negociação;2024-01-20;16:54:47;Não;Recente;4;True;False;True;False;False;False;True;False;3760.25;7806.82;10817.84;63;1;2024-09-13;20;C;Veniam voluptatem maiores.;zrodrigues;Moto;Sistema C;8971548;Física;Araújo;recusandae;5749567487;LEB-0B89;46999299126;Vermelho;2010;Gasolina
Costa Ltda.;7728980;Jurídica;065.279.184-02;Gabriela Teixeira;AP;Negociação;2024-07-28;03:58:35;Não;Fidelizado;0;True;False;True;True;False;True;True;False;3979.94;8862.76;535.46;348;4;2024-04-13;5;C;Nulla nemo adipisci aut quod.;caue79;Moto;Sistema B;1074318;Física;Cavalcanti da Mota Ltda.;ab;5350425194;PET-3Y40;54652406385;Branco;2012;Etanol
Novais;7295820;Jurídica;85.473.216/0001-27;Bento Moura;AL;Protesto;2024-07-11;21:10:18;Sim;Cliente VIP;5;False;True;False;False;False;True;False;False;7391.28;6870.32;5277.73;135;10;2024-05-15;30;A;Maiores animi odit.;da-pazhelena;Casa;Sistema C;3688783;Jurídica;Gonçalves - ME;distinctio;5870500920;GQN-3W80;75214926457;Branco;2016;Híbrido
Araújo;9913371;Física;782.196.435-28;Diego Cirino;AM;Negociação;2024-03-26;16:55:21;Sim;Fidelizado;1;False;False;False;False;False;False;False;False;615.79;3704.82;12234.38;270;6;2024-06-16;1;C;Modi velit ratione natus qui.;eduarda93;Carro;Sistema B;5812151;Jurídica;Pimenta;eum;5267348258;OIB-0T78;57614279612;Prata;2007;Etanol
da Luz;2017350;Física;130.629.548-33;Dr. Asafe Oliveira;MT;Pagamento;2024-02-04;00:50:24;Não;Cliente VIP;4;False;True;True;True;True;False;False;True;9618.98;6764.94;16317.03;308;6;2024-03-30;43;C;Nisi adipisci occaecati tempore ullam optio.;cpeixoto;Casa;Sistema B;5836258;Física;Moreira Moreira S.A.;illo;3285763001;SMJ-2Y76;16137033105;Vermelho;2015;Gasolina
Aparecida Peixoto Ltda.;1838726;Jurídica;26.145.879/0001-53;Dra. Hellena Sampaio;PE;Pagamento;2024-03-21;18:56:05;Não;Fidelizado;3;False;True;False;True;False;False;True;False;9741.94;800.9;8529.56;146;7;2024-02-20;2;A;Quidem dolores rem veritatis.;theodoro98;Terreno;Sistema C;7468185;Física;Borges;atque;5347003279;TMU-6R74;83907651434;Vermelho;2013;GNV
Novaes;8429039;Física;17.528.430/0001-83;Matheus Aparecida;BA;Negociação;2024-07-24;02:51:02;Sim;Cliente VIP;1;False;False;False;True;False;True;True;False;3136.04;9412.59;12364.07;106;3;2024-09-28;45;A;Velit asperiores accusamus sapiente dolorem doloribus.;murilo26;Carro;Sistema B;752045;Física;Viana Ribeiro S.A.;est;7576237990;XLU-5A99;20799672009;Preto;2022;Gasolina
Cavalcanti;3878998;Física;17.829.306/0001-58;Davi Lucca Rios;PB;Protesto;2024-01-26;09:38:51;Não;Cliente VIP;1;True;True;False;False;True;True;True;True;5849.18;1768.39;3173.34;238;5;2024-08-06;40;C;Aliquid ipsum nisi.;gmarques;Moto;Sistema A;7968156;Jurídica;Ramos;excepturi;1393244629;EOC-4Y55;60332842565;Preto;2016;GNV
Moraes;7684873;Jurídica;03.975.681/0001-00;Ian da Luz;DF;Atraso;2024-03-07;04:31:18;Sim;Recente;4;True;True;False;False;True;False;True;False;655.02;3414.01;11765.41;77;3;2024-09-05;53;D;Reprehenderit officia laboriosam.;iandrade;Terreno;Sistema C;54981;Física;Azevedo;aperiam;6208127226;LTA-1F61;91193433994;Azul;2018;GNV
Guerra;1012563;Física;639.071.482-31;Breno Souza;RJ;Protesto;2024-03-08;01:23:51;Sim;Fidelizado;1;True;False;True;True;True;True;True;True;2337.03;3917.53;14536.56;56;8;2024-07-19;40;B;Vitae eos quidem velit cumque alias.;elisa06;Moto;Sistema B;7843866;Física;da Cruz S/A;vitae;5957330371;KBL-7O22;93355777073;Vermelho;2011;Diesel
Borges Fernandes e Filhos;1248810;Física;50.294.176/0001-71;Dr. Augusto da Costa;AL;Pagamento;2024-01-30;08:39:46;Não;Recente;0;False;False;True;True;False;False;False;False;5160.69;9006.71;10821.77;190;8;2024-02-11;30;B;Necessitatibus dolores amet sit aspernatur ullam non.;da-pazisabelly;Terreno;Sistema C;8537402;Física;Novais;minus;2810146025;HZW-9N38;55360233600;Preto;2009;Híbrido
da Cunha - ME;9165990;Jurídica;530.179.428-05;Sr. André Siqueira;GO;Negociação;2024-08-28;18:30:15;Sim;Recente;3;False;False;True;False;True;False;False;True;9453.06;5238.29;747.22;281;0;2024-03-25;51;A;Beatae ipsum voluptas cupiditate.;luiz-otavio69;Terreno;Sistema B;4857440;Jurídica;Cavalcante Lima S/A;illum;9496155620;GLZ-4R05;03510453373;Prata;2016;Gasolina
Ramos S.A.;8572744;Jurídica;72.046.138/0001-32;Sara Montenegro;AC;Atraso;2024-03-20;07:49:40;Sim;Inadimplente;4;False;True;False;False;False;False;True;True;2805.74;7252.35;5885.84;287;2;2024-09-29;22;A;Nostrum excepturi quia.;cauemelo;Terreno;Sistema B;4365317;Jurídica;Montenegro Pastor - EI;libero;3218604696;PSY-1S72;10797938075;Prata;2019;Gasolina
Peixoto;1072043;Física;937.051.642-52;Raquel Albuquerque;AL;Atraso;2024-09-03;09:59:17;Sim;Recente;5;False;False;False;True;False;False;True;False;436.13;4507.0;14579.0;144;4;2024-05-19;48;D;Eveniet ab voluptate tenetur assumenda quasi.;siqueiraantonella;Carro;Sistema C;6873999;Física;Sampaio;debitis;2597499753;NOP-3B82;33341979067;Branco;2011;GNV
Azevedo S/A;8221665;Jurídica;65.370.981/0001-04;Sra. Natália Lima;RN;Protesto;2024-01-10;23:32:38;Sim;Inadimplente;1;True;True;True;True;True;True;True;False;5072.99;8285.91;11623.04;285;1;2024-03-23;60;C;Esse officiis vitae accusamus aperiam vel.;vitorviana;Terreno;Sistema A;5809689;Física;Novais;minima;7194475413;VHK-8M12;21703793940;Preto;2005;Etanol
Sales;2672746;Física;286.304.915-15;Dra. Isabel Rocha;RN;Protesto;2024-01-11;06:37:43;Sim;Recente;4;False;False;False;False;False;True;True;True;496.98;3973.6;1125.86;0;6;2024-01-10;28;B;Aut nesciunt odio doloremque sequi.;eloah58;Casa;Sistema C;5394718;Jurídica;Marques;fugit;3891550514;FIR-1T22;78425940836;Preto;2016;Gasolina
Novaes S.A.;5286516;Física;57.218.493/0001-58;Theo Melo;BA;Atraso;2024-04-07;12:49:38;Sim;Inadimplente;2;True;False;True;False;True;False;False;False;2934.78;1752.39;8233.8;229;2;2024-06-08;53;A;Explicabo laborum laborum blanditiis explicabo doloribus.;pcampos;Moto;Sistema A;6710766;Jurídica;Pacheco e Filhos;quibusdam;2222168999;POB-5B14;34124869294;Preto;2018;Gasolina
Barros - ME;8412861;Física;820.694.157-67;Kamilly Alves;MA;Protesto;2024-06-24;01:21:38;Não;Cliente VIP;0;True;False;True;True;True;True;True;False;9694.67;3533.85;15760.83;116;5;2024-04-09;41;A;Cum aspernatur omnis cupiditate.;otavioda-rocha;Carro;Sistema B;6060018;Física;Lopes;nulla;0495233969;DKL-7R73;63242260114;Branco;2008;Híbrido
